uid,date,total_session_duration_in_seconds
03HAO5vU6BOlF3NSeYVTzyRaJ6W2,2024-05-18,391.76700000000005
03HAO5vU6BOlF3NSeYVTzyRaJ6W2,2024-05-24,511802.174
11gwRhxyjDXP8bToBSnEbAXzfR62,2024-06-10,847.63
1kftiDxaQlT4N0NFXV4Ff70KgBF3,2024-06-04,483.193
2Dnk3xqJF6NF4ZJWcA7f2zrlnO13,2024-06-02,669.2940000000001
2MQXbrefhTbyejpLcfrEkn01rSz1,2024-06-02,21847.631999999998
313VQeWKBWVSt90xfJKK0Y803ga2,2024-05-17,18997.345999999998
313VQeWKBWVSt90xfJKK0Y803ga2,2024-06-05,1640331.926
313VQeWKBWVSt90xfJKK0Y803ga2,2024-06-07,155873.14599999998
313VQeWKBWVSt90xfJKK0Y803ga2,2024-06-09,197644.759
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-05-23,15776.529
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-05-24,113645.595
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-05-25,69879.424
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-05-26,99266.399
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-05-30,326538.317
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-05-31,86753.354
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-06-01,86454.464
6DzqFENos7TWPBAQYq6DB04O8fC3,2024-05-19,12.641
6DzqFENos7TWPBAQYq6DB04O8fC3,2024-05-22,255049.058
6DzqFENos7TWPBAQYq6DB04O8fC3,2024-05-28,484755.905
6DzqFENos7TWPBAQYq6DB04O8fC3,2024-05-31,282969.753
7odmEfSWmpOK0yXpKAux6oD84n33,2024-06-03,444.39
87e8FtLhawXUWZ2rR1FXpBZ2Mtz2,2024-05-18,17041.658
87e8FtLhawXUWZ2rR1FXpBZ2Mtz2,2024-06-09,1848691.044
8H4CV34KQHgrMj1DLy4J2NwlF5e2,2024-05-29,196.476
8H4CV34KQHgrMj1DLy4J2NwlF5e2,2024-05-30,100149.787
