time,groupeId,uid
1716773266584,fNm6RTc6SfFtjJ73hnTx,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1716536371565,eOl1l1Abvz8xoq5ABwtt,OFfw0tOPqLfFbMCfwNoVYcxKNJf1
1717530409153,48Oxzwdhu2crSuSb9jyD,sJHi3tHqLLOnTwSlvhvLGIKeimD2
1717063125509,uYQhDPTqxbOSjzxNOimn,X5pSoHXR7oa4XH90Mg3huDaWASt1
1717333007419,eOl1l1Abvz8xoq5ABwtt,2MQXbrefhTbyejpLcfrEkn01rSz1
1717333002319,eOl1l1Abvz8xoq5ABwtt,2MQXbrefhTbyejpLcfrEkn01rSz1
1716742957214,uYQhDPTqxbOSjzxNOimn,AkK9DilFPCOis7c5aImtHk8Ui5m1
1717422564677,Initial,xd90PSoHbugHnzRD3eqHotP076X2
1716045190180,NMm07ka3XBMO7S0N6T7y,87e8FtLhawXUWZ2rR1FXpBZ2Mtz2
1716742936913,tT8yKDzWw4zoQtl2g6gm,AkK9DilFPCOis7c5aImtHk8Ui5m1
1716796459993,H1rNSqdq9p7Ptonzir0W,FHqdFsrj4ZYPZL6AvuSUjOHnSiL2
1717605067702,R3XawjusHQ57Mla9yIcm,313VQeWKBWVSt90xfJKK0Y803ga2
1717352141351,eOl1l1Abvz8xoq5ABwtt,2Dnk3xqJF6NF4ZJWcA7f2zrlnO13
1717490380356,R3XawjusHQ57Mla9yIcm,xAMdtkw2WJcF7BJ2cPyscJzMosa2
1716106911104,atJ7z1W4KzLIoNJZFrY9,zAUbebwMo3TY8MqBKBldpDeyIUb2
1715971607740,eOl1l1Abvz8xoq5ABwtt,313VQeWKBWVSt90xfJKK0Y803ga2
1717605214441,atJ7z1W4KzLIoNJZFrY9,313VQeWKBWVSt90xfJKK0Y803ga2
1716742996805,R3XawjusHQ57Mla9yIcm,AkK9DilFPCOis7c5aImtHk8Ui5m1
1716636887503,H1rNSqdq9p7Ptonzir0W,I6elAlW14FXyawwu9ri0ANirM0x1
1717422561267,H1rNSqdq9p7Ptonzir0W,xd90PSoHbugHnzRD3eqHotP076X2
1717062774461,eOl1l1Abvz8xoq5ABwtt,X5pSoHXR7oa4XH90Mg3huDaWASt1
1716636772971,tT8yKDzWw4zoQtl2g6gm,I6elAlW14FXyawwu9ri0ANirM0x1
1716742855375,H1rNSqdq9p7Ptonzir0W,AkK9DilFPCOis7c5aImtHk8Ui5m1
1716773248503,eOl1l1Abvz8xoq5ABwtt,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1717490323130,uYQhDPTqxbOSjzxNOimn,xAMdtkw2WJcF7BJ2cPyscJzMosa2
1716831115464,eOl1l1Abvz8xoq5ABwtt,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
1716812248214,R3XawjusHQ57Mla9yIcm,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1716636849694,atJ7z1W4KzLIoNJZFrY9,I6elAlW14FXyawwu9ri0ANirM0x1
1716636871878,R3XawjusHQ57Mla9yIcm,I6elAlW14FXyawwu9ri0ANirM0x1
1717449285677,tT8yKDzWw4zoQtl2g6gm,7odmEfSWmpOK0yXpKAux6oD84n33
1715971624313,eOl1l1Abvz8xoq5ABwtt,313VQeWKBWVSt90xfJKK0Y803ga2
1716067253305,NMm07ka3XBMO7S0N6T7y,yK8bHykMuPg4KqJof3jeuMI7Dn72
1715972511396,fNm6RTc6SfFtjJ73hnTx,313VQeWKBWVSt90xfJKK0Y803ga2
1717605212075,tT8yKDzWw4zoQtl2g6gm,313VQeWKBWVSt90xfJKK0Y803ga2
1714839072982,Initial,qMHVQGPKvNMdZLX8YnPH29ZYoyG3
1717354062530,eOl1l1Abvz8xoq5ABwtt,RM7mi4SVvGhIydxwmmt6djQQL3D3
1716742927293,48Oxzwdhu2crSuSb9jyD,AkK9DilFPCOis7c5aImtHk8Ui5m1
1716036974818,eOl1l1Abvz8xoq5ABwtt,03HAO5vU6BOlF3NSeYVTzyRaJ6W2
1717102040081,H1rNSqdq9p7Ptonzir0W,miy7809XCNhXj9Bv0VfPYXob3AD2
1716773250189,H1rNSqdq9p7Ptonzir0W,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1716106919053,R3XawjusHQ57Mla9yIcm,zAUbebwMo3TY8MqBKBldpDeyIUb2
1716773278126,R3XawjusHQ57Mla9yIcm,g1Os1DQ1U9UxVfYBnLKIl03XTEm2
1717333001370,eOl1l1Abvz8xoq5ABwtt,2MQXbrefhTbyejpLcfrEkn01rSz1
1716904203631,H1rNSqdq9p7Ptonzir0W,hA911Hr90KPbY6yO0OACx8tP2NE2
1715875036680,tT8yKDzWw4zoQtl2g6gm,hA911Hr90KPbY6yO0OACx8tP2NE2
1717333017904,eOl1l1Abvz8xoq5ABwtt,2MQXbrefhTbyejpLcfrEkn01rSz1
1716636860459,uYQhDPTqxbOSjzxNOimn,I6elAlW14FXyawwu9ri0ANirM0x1
1717530467349,NMm07ka3XBMO7S0N6T7y,sJHi3tHqLLOnTwSlvhvLGIKeimD2
1717612963793,atJ7z1W4KzLIoNJZFrY9,313VQeWKBWVSt90xfJKK0Y803ga2
1717401321868,Initial,Mdfom8mcVVZZ2iOaz2oJuUp9mhC2
1717401315206,uYQhDPTqxbOSjzxNOimn,Mdfom8mcVVZZ2iOaz2oJuUp9mhC2
1716636721268,H1rNSqdq9p7Ptonzir0W,I6elAlW14FXyawwu9ri0ANirM0x1
1716465881837,H1rNSqdq9p7Ptonzir0W,axYHQ2yjnTdwLf6R7eP5LKm82Y53
1717063120360,atJ7z1W4KzLIoNJZFrY9,X5pSoHXR7oa4XH90Mg3huDaWASt1
1716106898804,NMm07ka3XBMO7S0N6T7y,zAUbebwMo3TY8MqBKBldpDeyIUb2
1716636882264,48Oxzwdhu2crSuSb9jyD,I6elAlW14FXyawwu9ri0ANirM0x1
1717353959860,H1rNSqdq9p7Ptonzir0W,RM7mi4SVvGhIydxwmmt6djQQL3D3
1716044778882,Initial,87e8FtLhawXUWZ2rR1FXpBZ2Mtz2
1716792499412,Initial,FHqdFsrj4ZYPZL6AvuSUjOHnSiL2
1717353956026,eOl1l1Abvz8xoq5ABwtt,RM7mi4SVvGhIydxwmmt6djQQL3D3
