updateTime,ajoute_par,addTime,id,description,nom,photoUrl,groupe_id
2023-09-21T16:07:40.552842,IwXqh3xp8hThQlDQH6wLJo39eS02,2023-03-26T18:21:48.473057,2fkGUlfCAjiJ1sF9MxY0,Fournisseurs eau & énergie ,Eau & Énergies,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/categories%2FCategories_2fkGUlfCAjiJ1sF9MxY0.jpg?alt=media&token=07ef0835-7f3c-4fe3-ba4b-9bc93ec48d95,tT8yKDzWw4zoQtl2g6gm
2024-01-18T15:50:38.937767,IwXqh3xp8hThQlDQH6wLJo39eS02,2023-03-26T18:20:37.019494,3wdruIJ01ALCZxosRmpU,Prestataires de services variés,Services divers,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/categories%2FCategories_3wdruIJ01ALCZxosRmpU.jpg?alt=media&token=bbdfcc54-2d3a-4c74-9835-2795f301d2a9,tT8yKDzWw4zoQtl2g6gm
2023-09-21T16:41:08.574744,IwXqh3xp8hThQlDQH6wLJo39eS02,2023-03-26T18:12:24.782751,6rpkh8W5T2XyNQbvuCPd,Spécialistes du soin des cheveux,Salons de coiffure,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/categories%2FCategories_6rpkh8W5T2XyNQbvuCPd.jpg?alt=media&token=a25fbe69-706c-42d1-9f24-ee770a63b0d2,fNm6RTc6SfFtjJ73hnTx
2023-09-21T16:54:36.915286,IwXqh3xp8hThQlDQH6wLJo39eS02,2023-03-26T18:32:22.701553,C3frxp2RDJ2quWKc9mqN,Cabinets médicaux & dentaires,Médecins & Dentistes,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/categories%2FCategories_C3frxp2RDJ2quWKc9mqN.jpg?alt=media&token=4a680d61-dab1-4427-ad2c-502887487972,eOl1l1Abvz8xoq5ABwtt
2023-09-21T14:50:23.247209,IwXqh3xp8hThQlDQH6wLJo39eS02,2023-03-26T18:25:22.417857,DbgjnYkafnpM6OubiPf3,Enseignement supérieur,Universités,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/categories%2FCategories_DbgjnYkafnpM6OubiPf3.jpg?alt=media&token=97963575-9240-4c93-8f7d-0c1edf9384bb,48Oxzwdhu2crSuSb9jyD
2023-09-21T14:44:13.870505,IwXqh3xp8hThQlDQH6wLJo39eS02,2023-03-26T18:31:41.590842,GRojSHY5EvVgbqhrZ2zC,Établissements de soins publiques,Hôpitaux,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/categories%2FCategories_GRojSHY5EvVgbqhrZ2zC.jpg?alt=media&token=19a9876a-9f12-41f1-998e-e803b84f829d,eOl1l1Abvz8xoq5ABwtt
2023-09-21T14:49:38.252210,IwXqh3xp8hThQlDQH6wLJo39eS02,2023-03-26T18:26:17.060921,Gw3lI40xWXS4MS7tsmY8,Enseignement secondaire,Collèges & Lycées,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/categories%2FCategories_Gw3lI40xWXS4MS7tsmY8.jpg?alt=media&token=32fd45b8-df89-440a-a733-5e9435c373a5,48Oxzwdhu2crSuSb9jyD
2023-09-21T14:51:29.217862,IwXqh3xp8hThQlDQH6wLJo39eS02,2023-03-26T18:22:31.265215,I6AWdAj1WnDyzCVW312E,Informatique & Téléphonie,Info-Com,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/categories%2FCategories_I6AWdAj1WnDyzCVW312E.jpg?alt=media&token=52507534-e415-4304-9e2c-74af31b425bb,tT8yKDzWw4zoQtl2g6gm
2023-09-21T15:02:39.691374,IwXqh3xp8hThQlDQH6wLJo39eS02,2023-03-26T18:09:36.842131,JnzHTPdXIKHZfSHEBZi2,Organisation de réceptions,Services traiteurs,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/categories%2FCategories_JnzHTPdXIKHZfSHEBZi2.jpg?alt=media&token=70753f22-4b61-4c62-917a-dda3e55131c1,R3XawjusHQ57Mla9yIcm
2024-06-03T17:28:15.977951,IwXqh3xp8hThQlDQH6wLJo39eS02,2023-03-26T18:06:18.326540,KZyZa9pEBuGrFOp4Vweq,Prestations variées dans l'événementiel,Tout dans l'événementiel,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/categories%2FCategories_KZyZa9pEBuGrFOp4Vweq.jpg?alt=media&token=587cf80d-1239-4df8-a9c6-570952a509a6,R3XawjusHQ57Mla9yIcm
