osVersion,brandDevice,isAndroid,uid,modelDevice,device,displayDevice,idDevice,hardwareDevice
17.4.1,"iPhone14,2",False,03HAO5vU6BOlF3NSeYVTzyRaJ6W2,iPhone,iPhone,iOS,,Darwin
11,TECNO,True,11gwRhxyjDXP8bToBSnEbAXzfR62,TECNO KG7h,TECNO-KG7h,KG7h-H6511CDEF-R-OP-221217V477,RP1A.200720.011,mt6765
14,samsung,True,1kftiDxaQlT4N0NFXV4Ff70KgBF3,SM-F926B,q2q,UP1A.231005.007.F926BXXS7HXE1,UP1A.231005.007,qcom
15.8.2,"iPhone8,4",False,2Dnk3xqJF6NF4ZJWcA7f2zrlnO13,iPhone,iPhone,iOS,,Darwin
11,TECNO,True,2MQXbrefhTbyejpLcfrEkn01rSz1,TECNO LE7,TECNO-LE7,LE7-H697GHIJKL-R-GL-230110V728,RP1A.200720.011,mt6769
17.5.1,"iPhone11,8",False,313VQeWKBWVSt90xfJKK0Y803ga2,iPhone,iPhone,iOS,,Darwin
13,TECNO,True,4OU8k1M6xDaTwc4nbaCoRBE96wt1,TECNO CI6,TECNO-CI6,CI6-H6917ABC-T-GL-230630V204,TP1A.220624.014,mt6769
17.4.1,"iPhone13,2",False,6DzqFENos7TWPBAQYq6DB04O8fC3,iPhone,iPhone,iOS,,Darwin
14,samsung,True,7odmEfSWmpOK0yXpKAux6oD84n33,SM-S926B,e2s,UP1A.231005.007.S926BXXS2AXD6,UP1A.231005.007,s5e9945
14,Xiaomi,True,87e8FtLhawXUWZ2rR1FXpBZ2Mtz2,2109119DG,lisa,UKQ1.231108.001 release-keys,UKQ1.231108.001,qcom
17.4.1,"iPhone14,4",False,8H4CV34KQHgrMj1DLy4J2NwlF5e2,iPhone,iPhone,iOS,,Darwin
14,google,True,914umpyeZkY5lglo8KGumeZWF002,sdk_gphone64_arm64,emu64a,sdk_gphone64_arm64-userdebug 14 UE1A.230829.036.A1 11228894 dev-keys,UE1A.230829.036.A1,ranchu
12,POCO,True,AkK9DilFPCOis7c5aImtHk8Ui5m1,M2102J20SG,vayu,SKQ1.211006.001 test-keys,SKQ1.211006.001,qcom
11,Sony,True,CK6EheHcv2PNn2KXemVclQmzlBP2,J9110,J9110,55.2.A.4.332,55.2.A.4.332,qcom
17.4.1,"iPhone13,3",False,DFZU3UfzhgRM1sHo3poKO1nioqF2,iPhone,iPhone,iOS,,Darwin
13,HONOR,True,FHqdFsrj4ZYPZL6AvuSUjOHnSiL2,REA-NX9,HNREA,REA-N39 7.1.0.244(C431E1R2P4),HONORREA-N39,qcom
11,Xiaomi,True,GLOi2DWR7seNFkuttoWH3m78CX12,M2007J3SG,apollo,RKQ1.200826.002 test-keys,RKQ1.200826.002,qcom
13,OPPO,True,GzZT4dNYCbRjK0TBq4Sre4jcYGh1,CPH2343,OP532FL1,CPH2343_11_F.54,TP1A.220624.003,qcom
"2.18.4 (stable) (Tue Nov 1 15:15:07 2022 +0000) on ""android_arm64""",HUAWEI,True,,HMA-L29,HWHMA,HMA-L29 10.1.0.289(C432E8R1P5),HUAWEIHMA-L29,kirin980
17.4.1,"iPhone11,6",False,I6elAlW14FXyawwu9ri0ANirM0x1,iPhone,iPhone,iOS,,Darwin
14,samsung,True,IwXqh3xp8hThQlDQH6wLJo39eS02,SM-S901B,r0s,UP1A.231005.007.S901BXXS8DXD2,UP1A.231005.007,s5e9925
14,samsung,True,J8FQbcWNUUhOw7NDUBjnsI44b4t2,SM-T220,gta7litewifi,UP1A.231005.007.T220XXU6DWLB,UP1A.231005.007,mt6765
12,Redmi,True,Mdfom8mcVVZZ2iOaz2oJuUp9mhC2,220733SG,ice,12 V13.0.16.0.SGMEUXM,SP1A.210812.016,mt6761
17.4.1,"iPhone16,1",False,NaPJhyyglGO5W5en9C6P4BoUXof2,iPhone,iPhone,iOS,,Darwin
