body,idPrestataire,isRead,title,idTransaction,updatedAt,uid,createdAt
Transaction de M./Mme Ngandeu,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,Vous avez reçu une transaction,K0EGuLIo32ota5B1CTvA1709541722827,1709579698783,914umpyeZkY5lglo8KGumeZWF002,1709541792000
Transaction de M./Mme Ngandeu,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,Vous avez reçu une transaction,HAIehgFGuM0Wzg6KgTx61715951345414,1719478559537,914umpyeZkY5lglo8KGumeZWF002,1715951442000
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407104,C8oYWOSz3qQYIQgash2MYZeELoR2,1714834407104
Transaction pour M./Mme kamssu a échoué,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,Paiement échoué,TvxbAf6QXq03OYr5j4ii1709553075052,1709555288930,z5Vl3tUSRgalHfSho6JFNkpjxpn1,1709553282000
Transaction de M./Mme Ngandeu pour M./Mme ,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,Vous êtes liés a une transaction,Bfo87pFPeiuINgjj106S1715795869646,1715796822431,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,1715796126000
"M./Mme Ngandeu, Dhoola vous remercie pour votre confiance.",Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,Transaction Initiée,uOG7s8xqCNZSa8Y2GEsI1709474877962,1709474944544,z5Vl3tUSRgalHfSho6JFNkpjxpn1,1709474938000
"M./Mme Ngandeu, Dhoola vous remercie pour votre confiance.",Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,Transaction Initiée,1L0jla5Av2LzmLkpGXBh1720105016646,1720105286479,z5Vl3tUSRgalHfSho6JFNkpjxpn1,1720105267000
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182506,m7j0mHW2FoRXlf2PaKwXxBO5skf2,1714834182506
Transaction REJETÉE par le Payeur,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,La transaction a été REFUSÉE par NGANDEU,K1hUvJlkICzFzMs3gPtJ1709922788741,1710578040401,914umpyeZkY5lglo8KGumeZWF002,1709923014761
Transaction FINALISÉE par le Prestataire,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,La prestation a été REALISÉE par le prestataire HOUSE INNOVATION/IT SERVICES/DOUALA,K0EGuLIo32ota5B1CTvA1709541722827,1709579698781,914umpyeZkY5lglo8KGumeZWF002,1709542249656
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407183,sjiXsT4rOEOfuzGedaORziGdLU93,1714834407183
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407129,vWHIfaoqK9fNKCAo1OjDClDYaRl2,1714834407129
Transaction FINALISÉE par le Prestataire,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,La prestation a été REALISÉE par le prestataire HOUSE INNOVATION/IT SERVICES/DOUALA,GfwgI1Pxde9LVzhd41Ne1709473064814,1709474300753,z5Vl3tUSRgalHfSho6JFNkpjxpn1,1709474042168
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407188,ai83RMkWQ5cnUBP9T4MluHibkJE3,1714834407188
Visitez votre application afin de découvrir nos nouveaux prestataires.,,True,Nouveaux Prestataires,,1714834208861,qMHVQGPKvNMdZLX8YnPH29ZYoyG3,1714834182561
vous pouvez envoyer le code d’identification à votre bénéficiaire en utilisant le bouton de partage de la transaction. Cliquez ici pour accéder à la transaction!,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,Astuce Dhoola,QopOBHHvdwNU5rZvuLun1720193150320,1720193247603,qMHVQGPKvNMdZLX8YnPH29ZYoyG3,1720193235000
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407116,3BFSPEuFq7ajjy64NcXZDsFd1Bn1,1714834407116
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407185,RJIXvvY4CgcTVuOwekca7JdvIt03,1714834407185
La transaction a été REFUSÉE par le prestataire House Innovation/IT Services/Douala,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,Transaction REFUSÉE par le Prestataire,6qJ0M81O26HvXs80LYQ51709541246816,1709922365683,SF41IxDyM4RSbTEsLNV1TP7JhdE2,1709542197000
Le prestataire a reçu le paiement. Merci d'utiliser Dhoola ,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,Paiement reçu par le Prestataire,uOekcgQLKxORtGK11N3m1710782054941,1712853285462,SF41IxDyM4RSbTEsLNV1TP7JhdE2,1712672155000
Transaction de M./Mme Ngandeu,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,Vous avez reçu une transaction,fw07RwRkAumA0GQFtC2p1709923871354,1710578040401,914umpyeZkY5lglo8KGumeZWF002,1709923937000
Transaction de M./Mme Ngandeu pour M./Mme kamssu,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,Vous êtes liés a une transaction,TvxbAf6QXq03OYr5j4ii1709553075052,1709635139254,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,1709553132000
Transaction pour M./Mme  a échoué,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,Paiement échoué,xiDAyGPF2yseGScG4PM41709549862401,1709555288930,z5Vl3tUSRgalHfSho6JFNkpjxpn1,1709555055000
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407093,4a3IEvo1CxOE9R3rkwUe663v8DX2,1714834407093
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407097,N8bUcsXVTBXc2GGuZGYjACpoZj13,1714834407097
Transaction de M./Mme Ngandeu pour M./Mme ,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,Vous êtes liés a une transaction,7e2rQKAPpKDyPcd3AOx31710780850130,1710781117252,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,1710780988000
