nom_service,prestataire_id,intitule,updatedBy,status,creationTime,service_id,prix,updatedTime,id,addBy,description,photoUrl,groupe_id
ALIMENTAIRE ,dOejW7bfDveOviZE3toZ1V9iBND2,Riz,,Affiche,2023-10-12T11:09:17.928457,YJPGNNffL2VFqwmdoFFG,17500,2023-10-17T10:38:27.398092,0J9osTdQSyxTFFQtfD4q,,Riz parfumé 100%long grain origine vietnamienne/25kg(5kg*5),https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices0J9osTdQSyxTFFQtfD4q.jpg?alt=media&token=5fdb19c2-0a1d-441b-9659-879e8f638d1d,H1rNSqdq9p7Ptonzir0W
KINÉSITHÉRAPEUTES,jPM73iTHDgVSbvlvwttEozwNIXJ3,Soins à domicile ,,Affiche,2023-04-15T08:31:46.976644,kkjvZAJtoLaxiVNDU2VG,20000,2023-04-15T08:41:23.999631,0gD98L0tsmhEm7lPSj93,,"Prévention, Rééducation, Réadaptation..",,eOl1l1Abvz8xoq5ABwtt
Médecins & Dentistes,L0dUEXs0vnayHyPnQ0QcmXp9tj42,consultation ,,Affiche,2023-09-07T18:35:57.392868,C3frxp2RDJ2quWKc9mqN,16000,2023-09-21T16:54:37.190867,0wbZTWCiKhIZlOygCsap,,Consultation médecine generale,,eOl1l1Abvz8xoq5ABwtt
Médecins & Dentistes,7g3NB0eqWJUK5dWa7Vf8e7021Y12,Consultation à domicile ,,Affiche,2023-10-21T13:57:32.237707,C3frxp2RDJ2quWKc9mqN,10000,2023-10-21T13:57:36.153452,16hIG9fMN0AYvodSvtQB,,Prise des paramètres biologiques et consultation,,eOl1l1Abvz8xoq5ABwtt
Tout dans l'événementiel,MqOc124jRTc4TXYOfHlEbTreCSa2,location taxi en Berline premium,,Affiche,2023-06-06T20:15:10.916327,KZyZa9pEBuGrFOp4Vweq,10000,2024-06-03T17:28:16.237789,19oYq49ukyKPS2aSVPaY,,"pick up/drop off aéroport,dépôt,course horaire,hors ville ",https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices19oYq49ukyKPS2aSVPaY.jpg?alt=media&token=6f696912-6dec-4a93-8bfe-72b7b04533a9,R3XawjusHQ57Mla9yIcm
AMEUBLEMENT,Ufbq6uDgbrh1edZcb3VJHY7nIo62,studio meublé ,,Affiche,2023-11-14T13:30:07.874387,xrIvvNLPdmEa5LGyevNf,50000,2023-11-14T13:30:26.631034,1E18B1taWXREOo7vMOcx,,"chambre,Salon,douche cuisine (la journée) entièrement équipé",https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices1E18B1taWXREOo7vMOcx.jpg?alt=media&token=71c5df21-c25b-4215-b2e7-acc0e4dee6cf,NMm07ka3XBMO7S0N6T7y
Salons d'esthétique,4OU8k1M6xDaTwc4nbaCoRBE96wt1,soins visage ,,Affiche,2024-05-24T07:32:37.717871,RF0Gh7aSA6hQiQ4ltqoX,550000,2024-05-24T07:32:38.079841,1K4FdFehxaLI4Bhnk8EH,,PRP( plasma riche en plaquette ),,fNm6RTc6SfFtjJ73hnTx
Médecins & Dentistes,bKqHDmwn88ZRIWJfIBrzjllY6FP2,PROTHÈSE FIXÉE,,Affiche,2023-09-22T17:54:14.540930,C3frxp2RDJ2quWKc9mqN,150000,2023-09-22T18:18:43.547033,1Kt5mjQgSz0YgzTEwnrx,,Facettes Dentaire ,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices1Kt5mjQgSz0YgzTEwnrx.jpg?alt=media&token=57d40a17-c968-40a5-b924-afb24ff2729c,eOl1l1Abvz8xoq5ABwtt
MÉDECINS & DENTISTES,bKqHDmwn88ZRIWJfIBrzjllY6FP2,RECONSTITUTIONS COURONNE,,Affiche,2023-09-22T18:10:59.395893,C3frxp2RDJ2quWKc9mqN,10000,2023-09-22T18:51:01.269106,1STJ6OxRKuM0w4MWEKqc,,Reconstitution couronne 1face ,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices1STJ6OxRKuM0w4MWEKqc.jpg?alt=media&token=0e31058d-4667-4dd0-9e55-a94c51dd5842,eOl1l1Abvz8xoq5ABwtt
Alimentaire ,6vKFwEf8eMRFjjSNrjJhssgZ15X2,STYLO LOVE,,Affiche,2024-02-12T04:45:35.613882,YJPGNNffL2VFqwmdoFFG,300,2024-02-12T05:29:03.490668,1gqiODraULYPXXKwh7dO,,Stylo tissé à la main décoré d'une rose ,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices1gqiODraULYPXXKwh7dO.jpg?alt=media&token=e79692d5-05c9-4cd8-959d-733acca4f3c0,H1rNSqdq9p7Ptonzir0W
Alimentaire ,7M7SLCTcDPfmhxSU0k4E385ucuJ2,poulet réformé,,Affiche,2023-12-21T07:37:51.746672,YJPGNNffL2VFqwmdoFFG,6500,2023-12-21T07:40:35.530929,1kT7ySsEhF4Z7fiV4ewH,,poulet entier frais 2kgs et+,,H1rNSqdq9p7Ptonzir0W
Alimentaire ,KL6xWV3btNYHA7neLDAODGhWGNj2,Gingembre ,,Affiche,2023-09-19T17:50:23.440916,YJPGNNffL2VFqwmdoFFG,2500,2023-09-21T14:48:18.625906,1xIOl6WGP09ZFfCCQKwX,,pour de gingembre ,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices1xIOl6WGP09ZFfCCQKwX.jpg?alt=media&token=424878ba-6730-4f5f-8755-c5a066814271,H1rNSqdq9p7Ptonzir0W
SALONS D'ESTHÉTIQUE,BzDA4Bq79ofqZsDOplwQYIyeTwH2,Pack bronze,,Affiche,2023-11-10T14:04:11.395703,RF0Gh7aSA6hQiQ4ltqoX,30000,2023-11-10T14:05:46.536108,27dGqg47YdApwHar5xXC,,Soin visage + Massage relaxant + Manucure / Pédicure ,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices27dGqg47YdApwHar5xXC.jpg?alt=media&token=7f6a9c0b-2076-4b6d-a157-8b0f108bbf9b,fNm6RTc6SfFtjJ73hnTx
INFO-COM,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,Test Dhoola,IwXqh3xp8hThQlDQH6wLJo39eS02,Affiche,2024-06-30T13:27:13.598459,I6AWdAj1WnDyzCVW312E,1150,2024-07-02T18:57:23.284362,2MmckkJMSd9TPhLdGqIe,IwXqh3xp8hThQlDQH6wLJo39eS02,Test transfert Prod,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices2MmckkJMSd9TPhLdGqIe.jpg?alt=media&token=012bf3d8-2ea1-43b1-a817-92832b866465,tT8yKDzWw4zoQtl2g6gm
Tout dans l'événementiel,MqOc124jRTc4TXYOfHlEbTreCSa2,location citadine,,Affiche,2023-06-06T20:31:42.133024,KZyZa9pEBuGrFOp4Vweq,30000,2024-06-03T17:28:16.238711,2NF1fR4JH7rKc33CiVUT,,location journalière dans la ville avec chauffeur ,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices2NF1fR4JH7rKc33CiVUT.jpg?alt=media&token=5b19c5d2-bb9c-4201-aa72-1979c460e400,R3XawjusHQ57Mla9yIcm
SERVICES DIVERS,l49kJrXNLwUnd6iMMXHwhL9RxY43,SERVICES ÉVÉNEMENTIELS,,Affiche,2024-01-26T12:39:30.666342,3wdruIJ01ALCZxosRmpU,10000,2024-01-28T20:48:17.531380,2rR98L0Iuhq6jc1xxDlN,,MENAGE (1 Soirée),https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices2rR98L0Iuhq6jc1xxDlN.jpg?alt=media&token=c225d5c4-0a00-4e79-8cd1-d1525195e61c,tT8yKDzWw4zoQtl2g6gm
Tout dans l'événementiel,VcHCeXzJnQQJemdNO9cAnZtRWWe2,STAND,,Affiche,2023-07-12T11:02:23.034960,KZyZa9pEBuGrFOp4Vweq,150000,2024-06-03T17:28:16.238881,39TLv6gxVN42p9G3Oypd,,STAND SMALL 4m²,,R3XawjusHQ57Mla9yIcm
Tout dans l'événementiel,MqOc124jRTc4TXYOfHlEbTreCSa2,Location jour en Berline,,Affiche,2023-06-06T20:20:43.337333,KZyZa9pEBuGrFOp4Vweq,80000,2024-06-03T17:28:16.239029,49lrQZjYqMD6t8EGbKdy,,location jour dans la ville avec chauffeur ,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices49lrQZjYqMD6t8EGbKdy.jpg?alt=media&token=cf3c4a6b-ff24-4da1-b15e-ceacb8aad887,R3XawjusHQ57Mla9yIcm
Avocats & Notaires,QP8V1rjNcLg1t6DJrZlCY8agZj53,Conseils Juridiques ,,Affiche,2023-09-11T14:09:20.340849,wRknLouXo7dk7IMavsQ8,30000,2023-09-21T17:02:33.072452,4gk8wRGm3ZiGYvTAIiyQ,,"Assistance toute question juridique
1 heure ",,uYQhDPTqxbOSjzxNOimn
Alimentaire ,6vKFwEf8eMRFjjSNrjJhssgZ15X2,ROSE I LOVE YOU ,,Affiche,2024-02-12T04:34:40.110045,YJPGNNffL2VFqwmdoFFG,700,2024-02-12T04:35:08.102061,4lZLF3KkXmk2Bw8G2wa4,,Rose artificielle assortie avec un.string,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices4lZLF3KkXmk2Bw8G2wa4.jpg?alt=media&token=2532d19f-1f60-4594-b664-18de6e579261,H1rNSqdq9p7Ptonzir0W
SERVICES DIVERS,GNSun0UsCpbCzARwv4EK5xJqiXv2,Renforcement de capacité personnalisé ,,Affiche,2024-03-10T21:18:44.333740,3wdruIJ01ALCZxosRmpU,50000,2024-03-10T23:10:43.898614,54NpJxVtlKX0q7x3DESQ,,"Formation (Outils collaboratifs, logiciels Ms Office 💻 )",https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices54NpJxVtlKX0q7x3DESQ.jpg?alt=media&token=796a4406-405e-40a1-b098-66e571a34c3c,tT8yKDzWw4zoQtl2g6gm
MÉDECINS & DENTISTES,bKqHDmwn88ZRIWJfIBrzjllY6FP2,PROTHÈSE AMOVIBLE,,Affiche,2023-09-22T18:07:29.377644,C3frxp2RDJ2quWKc9mqN,150000,2023-09-22T18:24:34.332567,5AG4eiriAKKdziOu4sN7,,Prothèse Dentaire amovible Valplast,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices5AG4eiriAKKdziOu4sN7.jpg?alt=media&token=fb6ed16f-d11b-45e0-b12b-4d94b03e20ca,eOl1l1Abvz8xoq5ABwtt
LABORATOIRES,cXO5RL7OGCXdQ2ad1tZZEXmb4vr2,Pack Homme avec PSA,,Affiche,2023-10-03T14:01:59.054954,XSMZkpA4YsDjsAB94SWu,81000,2023-10-03T14:02:28.515720,5ARYLa6GSWU1PYaVexwe,,Dépistage et surveillance de la prostate,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices5ARYLa6GSWU1PYaVexwe.jpg?alt=media&token=b48306d0-3514-4ded-8d52-e718fd151982,eOl1l1Abvz8xoq5ABwtt
CLINIQUES,ydHIOCbDC8fn6aPwEVqszjXHSRk2,MedAssist 1,,Affiche,2024-02-19T18:28:44.098996,jWwIcd1tNfkAaJo62njO,25000,2024-02-19T18:35:26.110559,5X4HVL4ovAS0vorezAie,,Soins à domicile effectués par un médecin et un infirmier.,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices5X4HVL4ovAS0vorezAie.jpg?alt=media&token=e69b405b-dfcb-428c-8ce9-0d7b647825ba,eOl1l1Abvz8xoq5ABwtt
Cliniques,Px1wmpnT77OiXkoKZypvrs9YiIa2,Consultation pédiatre ,,Affiche,2024-05-29T15:58:39.175923,jWwIcd1tNfkAaJo62njO,15000,2024-05-29T16:01:47.362139,5qUx8eFllMJqRUNGinHo,,Consultation pour enfants de 0 à 18 ans,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices5qUx8eFllMJqRUNGinHo.jpg?alt=media&token=0318215d-c1b4-4cd8-9ceb-593a661d0323,eOl1l1Abvz8xoq5ABwtt
SERVICES DIVERS,uXnnBb0D5yZiOrroCy3JCZ6FxPR2,Bracelet Hello kitty,,Affiche,2024-05-22T00:10:20.126246,3wdruIJ01ALCZxosRmpU,25000,2024-05-22T00:16:11.378143,63W2K09kK2oVL4HEAYTo,,"Argent 999
CubicZirconia 
À partir de 2ans 
très durable ",,tT8yKDzWw4zoQtl2g6gm
Alimentaire ,Hj1qKEqAvdW57sa1Moe4Lk5n3ZX2,Croquettes Crunshy bien parfumés,,Affiche,2023-04-13T17:20:21.531438,YJPGNNffL2VFqwmdoFFG,1250,2023-09-21T14:48:18.626753,6EzZI9PfaNpX1oFFC4eL,,Amuses-gueules bien- parfumés arômatisés à la noix de coco.,,H1rNSqdq9p7Ptonzir0W
Salons d'esthétique,NB0X9FrKDRSGQJGnee7LaBDKCbM2,Massage ,,Affiche,2023-05-03T12:10:09.691854,RF0Gh7aSA6hQiQ4ltqoX,10000,2023-09-21T16:27:54.671470,6MD5hlfNpNoJQtmo5auU,,Massage 30 minutes ,,fNm6RTc6SfFtjJ73hnTx
MÉDECINS & DENTISTES,bKqHDmwn88ZRIWJfIBrzjllY6FP2,SOINS CONSERVATEURS,,Affiche,2023-09-15T10:18:57.786293,C3frxp2RDJ2quWKc9mqN,15000,2023-09-22T18:25:37.209247,6mLgLzecPraP5ZTrcI1g,,Soins des caries dentaires + reconstitution,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices6mLgLzecPraP5ZTrcI1g.jpg?alt=media&token=db18e5fb-51f5-4ddd-8026-fc08c40a4e35,eOl1l1Abvz8xoq5ABwtt
ALIMENTAIRE ,dOejW7bfDveOviZE3toZ1V9iBND2,Pâtes alimentaires,,Affiche,2023-10-13T15:44:16.294432,YJPGNNffL2VFqwmdoFFG,8500,2023-10-13T16:38:43.530660,6uCuO5tpPF9cbDdlRnbb,,Sphaghetti Pasta Ricco pâte de semoule de blé dur premium.,https://firebasestorage.googleapis.com/v0/b/dhoola-4b710.appspot.com/o/services%2FServices6uCuO5tpPF9cbDdlRnbb.jpg?alt=media&token=52f2fdd3-bac3-4db9-98d7-d0ecafc79ac8,H1rNSqdq9p7Ptonzir0W
