uid,date,session_id,session_duration_in_seconds
03HAO5vU6BOlF3NSeYVTzyRaJ6W2,2024-05-18,1.0,391.76700000000005
03HAO5vU6BOlF3NSeYVTzyRaJ6W2,2024-05-24,2.0,511802.174
11gwRhxyjDXP8bToBSnEbAXzfR62,2024-06-10,1.0,847.63
1kftiDxaQlT4N0NFXV4Ff70KgBF3,2024-06-04,1.0,483.193
2Dnk3xqJF6NF4ZJWcA7f2zrlnO13,2024-06-02,1.0,669.2940000000001
2MQXbrefhTbyejpLcfrEkn01rSz1,2024-06-02,1.0,355.46600000000007
2MQXbrefhTbyejpLcfrEkn01rSz1,2024-06-02,2.0,4859.085
2MQXbrefhTbyejpLcfrEkn01rSz1,2024-06-02,3.0,16633.081
313VQeWKBWVSt90xfJKK0Y803ga2,2024-05-17,1.0,18.831
313VQeWKBWVSt90xfJKK0Y803ga2,2024-05-17,2.0,18978.515
313VQeWKBWVSt90xfJKK0Y803ga2,2024-06-05,3.0,1632587.361
313VQeWKBWVSt90xfJKK0Y803ga2,2024-06-05,4.0,7744.565
313VQeWKBWVSt90xfJKK0Y803ga2,2024-06-07,5.0,146999.84
313VQeWKBWVSt90xfJKK0Y803ga2,2024-06-07,6.0,1961.7549999999999
313VQeWKBWVSt90xfJKK0Y803ga2,2024-06-07,7.0,6911.5509999999995
313VQeWKBWVSt90xfJKK0Y803ga2,2024-06-09,8.0,195367.932
313VQeWKBWVSt90xfJKK0Y803ga2,2024-06-09,9.0,2276.8269999999998
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-05-23,1.0,453.348
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-05-23,2.0,4130.982
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-05-23,3.0,11192.199
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-05-24,4.0,60787.816999999995
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-05-24,5.0,52857.778000000006
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-05-25,6.0,69879.424
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-05-26,7.0,99266.399
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-05-30,8.0,326538.317
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-05-31,9.0,86753.354
4OU8k1M6xDaTwc4nbaCoRBE96wt1,2024-06-01,10.0,86454.464
6DzqFENos7TWPBAQYq6DB04O8fC3,2024-05-19,1.0,12.641
6DzqFENos7TWPBAQYq6DB04O8fC3,2024-05-22,2.0,255049.058
6DzqFENos7TWPBAQYq6DB04O8fC3,2024-05-28,3.0,484755.905
6DzqFENos7TWPBAQYq6DB04O8fC3,2024-05-31,4.0,282969.753
7odmEfSWmpOK0yXpKAux6oD84n33,2024-06-03,1.0,444.39
87e8FtLhawXUWZ2rR1FXpBZ2Mtz2,2024-05-18,1.0,31.508
87e8FtLhawXUWZ2rR1FXpBZ2Mtz2,2024-05-18,2.0,4446.782
87e8FtLhawXUWZ2rR1FXpBZ2Mtz2,2024-05-18,3.0,3592.7789999999995
87e8FtLhawXUWZ2rR1FXpBZ2Mtz2,2024-05-18,4.0,6032.58
87e8FtLhawXUWZ2rR1FXpBZ2Mtz2,2024-05-18,5.0,2938.009
87e8FtLhawXUWZ2rR1FXpBZ2Mtz2,2024-06-09,6.0,1848691.044
8H4CV34KQHgrMj1DLy4J2NwlF5e2,2024-05-29,1.0,196.476
8H4CV34KQHgrMj1DLy4J2NwlF5e2,2024-05-30,2.0,100149.787
914umpyeZkY5lglo8KGumeZWF002,2024-04-20,1.0,0.029
914umpyeZkY5lglo8KGumeZWF002,2024-04-20,2.0,5115.713
914umpyeZkY5lglo8KGumeZWF002,2024-04-24,3.0,370239.114
914umpyeZkY5lglo8KGumeZWF002,2024-04-29,4.0,401104.329
914umpyeZkY5lglo8KGumeZWF002,2024-04-29,5.0,21812.99
914umpyeZkY5lglo8KGumeZWF002,2024-05-02,6.0,233867.616
914umpyeZkY5lglo8KGumeZWF002,2024-05-02,7.0,4357.797
914umpyeZkY5lglo8KGumeZWF002,2024-05-02,8.0,5427.336
914umpyeZkY5lglo8KGumeZWF002,2024-05-02,9.0,4046.295
914umpyeZkY5lglo8KGumeZWF002,2024-05-03,10.0,92277.643
914umpyeZkY5lglo8KGumeZWF002,2024-05-04,11.0,73066.906
914umpyeZkY5lglo8KGumeZWF002,2024-05-04,12.0,3061.111
914umpyeZkY5lglo8KGumeZWF002,2024-05-04,13.0,7917.238
914umpyeZkY5lglo8KGumeZWF002,2024-05-04,14.0,2948.35
914umpyeZkY5lglo8KGumeZWF002,2024-05-07,15.0,230743.041
914umpyeZkY5lglo8KGumeZWF002,2024-05-08,16.0,94473.197
914umpyeZkY5lglo8KGumeZWF002,2024-05-08,17.0,5125.006
914umpyeZkY5lglo8KGumeZWF002,2024-05-09,18.0,108294.596
914umpyeZkY5lglo8KGumeZWF002,2024-05-10,19.0,70202.925
914umpyeZkY5lglo8KGumeZWF002,2024-05-11,20.0,86582.29299999999
914umpyeZkY5lglo8KGumeZWF002,2024-05-11,21.0,2723.646
914umpyeZkY5lglo8KGumeZWF002,2024-05-11,22.0,2115.145
914umpyeZkY5lglo8KGumeZWF002,2024-05-11,23.0,2285.502
914umpyeZkY5lglo8KGumeZWF002,2024-05-14,24.0,237432.223
914umpyeZkY5lglo8KGumeZWF002,2024-05-14,25.0,21447.897
914umpyeZkY5lglo8KGumeZWF002,2024-05-14,26.0,2039.059
914umpyeZkY5lglo8KGumeZWF002,2024-05-14,27.0,7207.06
914umpyeZkY5lglo8KGumeZWF002,2024-05-14,28.0,3161.459
914umpyeZkY5lglo8KGumeZWF002,2024-05-14,29.0,5969.002
914umpyeZkY5lglo8KGumeZWF002,2024-05-15,30.0,46375.475
914umpyeZkY5lglo8KGumeZWF002,2024-05-15,31.0,2267.801
914umpyeZkY5lglo8KGumeZWF002,2024-05-15,32.0,22710.207000000002
914umpyeZkY5lglo8KGumeZWF002,2024-05-15,33.0,9242.106
914umpyeZkY5lglo8KGumeZWF002,2024-05-16,34.0,58422.066
914umpyeZkY5lglo8KGumeZWF002,2024-05-16,35.0,16995.009
914umpyeZkY5lglo8KGumeZWF002,2024-05-16,36.0,6055.503
914umpyeZkY5lglo8KGumeZWF002,2024-05-17,37.0,49281.179
914umpyeZkY5lglo8KGumeZWF002,2024-05-17,38.0,20090.833
914umpyeZkY5lglo8KGumeZWF002,2024-05-17,39.0,6924.941000000001
914umpyeZkY5lglo8KGumeZWF002,2024-05-18,40.0,75350.469
914umpyeZkY5lglo8KGumeZWF002,2024-05-19,41.0,92540.66100000001
914umpyeZkY5lglo8KGumeZWF002,2024-06-07,42.0,1627166.02
914umpyeZkY5lglo8KGumeZWF002,2024-06-07,43.0,25964.27
9jDBR2oDM2W9IDl8v48TBC9nqOr2,2024-05-23,1.0,0.0
AkK9DilFPCOis7c5aImtHk8Ui5m1,2024-05-26,1.0,3527.374
CK6EheHcv2PNn2KXemVclQmzlBP2,2024-06-02,1.0,21.474
DFZU3UfzhgRM1sHo3poKO1nioqF2,2024-05-29,1.0,130.208
FHqdFsrj4ZYPZL6AvuSUjOHnSiL2,2024-05-27,1.0,556.465
FHqdFsrj4ZYPZL6AvuSUjOHnSiL2,2024-05-27,2.0,3745.3500000000004
FHqdFsrj4ZYPZL6AvuSUjOHnSiL2,2024-06-08,3.0,1056327.552
GLOi2DWR7seNFkuttoWH3m78CX12,2024-05-17,1.0,72.278
GzZT4dNYCbRjK0TBq4Sre4jcYGh1,2024-05-19,1.0,260.927
GzZT4dNYCbRjK0TBq4Sre4jcYGh1,2024-05-19,2.0,4553.449
HRlzktBMSpQHtMD2P0Rm7KcXber2,2024-05-16,1.0,0.551
HRlzktBMSpQHtMD2P0Rm7KcXber2,2024-05-21,2.0,398369.183
HRlzktBMSpQHtMD2P0Rm7KcXber2,2024-05-30,3.0,774180.608
HRlzktBMSpQHtMD2P0Rm7KcXber2,2024-06-01,4.0,186818.899
I6elAlW14FXyawwu9ri0ANirM0x1,2024-05-25,1.0,847.836
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-04-20,1.0,4743.143
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-04-23,2.0,276778.982
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-04-25,3.0,149648.686
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-04-25,4.0,33497.282999999996
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-04-29,5.0,334660.294
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-04,6.0,414900.50200000004
IwXqh3xp8hThQlDQH6wLJo39eS02,2024-05-04,7.0,9649.984
