uid,date,session_id,session_start,session_end,session_duration_in_seconds,visited_pages
03HAO5vU6BOlF3NSeYVTzyRaJ6W2,2024-05-18,1.0,2024-05-18 12:56:02.777,2024-05-18 13:02:34.544,391.767,"['userPanierPage', 'userPrestataireDetailPage', 'userListePrestatairePage', 'userPrestataireDetailPage']"
03HAO5vU6BOlF3NSeYVTzyRaJ6W2,2024-05-24,2.0,2024-05-24 11:11:29.231,2024-05-24 11:12:36.718,67.487,"['userDetailContactPage', 'userConversationPage', 'userContactPage', 'userContactPage', 'userPanierPage', 'userListePrestatairePage', 'userPrestataireDetailPage', 'userTransactionPage']"
11gwRhxyjDXP8bToBSnEbAXzfR62,2024-06-10,1.0,2024-06-10 12:34:04.644,2024-06-10 12:48:12.274,847.63,"['codePinPage', 'prestataireHomePage', 'prestataireScanPage', 'prestataireScanPage', 'prestataireConversationPage', 'prestataireHomePage', 'prestataireTransactionPage', 'prestataireHomePage', 'prestataireHomePage', 'prestataireHomePage', 'codePinPage']"
1kftiDxaQlT4N0NFXV4Ff70KgBF3,2024-06-04,1.0,2024-06-04 06:21:15.012,2024-06-04 06:29:18.205,483.193,"['userConversationPage', 'userTransactionPage', 'userPrestataireDetailPage', 'userListePrestatairePage', 'userPrestataireDetailPage', 'userContactPage', 'userTransactionPage', 'userListePrestatairePage']"
2Dnk3xqJF6NF4ZJWcA7f2zrlnO13,2024-06-02,1.0,2024-06-02 18:10:36.048,2024-06-02 18:21:45.342,669.294,"['userHomeScreenPage', 'userHomeScreenPage', 'userListePrestatairePage', 'userListePrestatairePage', 'userListePrestatairePage', 'userListePrestatairePage', 'userTransactionPage', 'userListePrestatairePage', 'userPrestataireDetailPage', 'userFilterPage', 'userListePrestatairePage', 'userConversationPage', 'userContactPage', 'userListePrestatairePage', 'userListePrestatairePage', 'codePinPage', 'userHomePage', 'userHomeScreenPage', 'userListePrestatairePage', 'userContactPage', 'userListePrestatairePage', 'userHomeScreenPage', 'userTransactionPage', 'userHomeScreenPage', 'userListePrestatairePage', 'userFilterPage', 'userHomePage', 'userListePrestatairePage', 'userPrestataireDetailPage']"
2MQXbrefhTbyejpLcfrEkn01rSz1,2024-06-02,1.0,2024-06-02 12:56:30.208,2024-06-02 13:02:25.674,355.466,"['userFilterPage', 'userHomePage', 'userHomeScreenPage', 'codePinPage']"
2MQXbrefhTbyejpLcfrEkn01rSz1,2024-06-02,2.0,2024-06-02 14:20:16.798,2024-06-02 14:23:24.759,187.961,"['userPrestataireDetailPage', 'userConversationPage', 'userTransactionPage', 'codePinPage', 'userHomeScreenPage', 'userListePrestatairePage', 'userListePrestatairePage', 'userPrestataireDetailPage', 'userHomePage', 'userContactPage', 'userListePrestatairePage', 'userHomeScreenPage']"
2MQXbrefhTbyejpLcfrEkn01rSz1,2024-06-02,3.0,2024-06-02 19:00:37.840,2024-06-02 19:00:37.840,0.0,[]
313VQeWKBWVSt90xfJKK0Y803ga2,2024-05-17,1.0,2024-05-17 13:48:28.882,2024-05-17 13:48:47.713,18.831,[]
313VQeWKBWVSt90xfJKK0Y803ga2,2024-05-17,2.0,2024-05-17 18:46:10.441,2024-05-17 19:05:06.228,1135.787,"['userHomePage', 'userListePrestatairePage', 'userHomePage', 'codePinPage', 'userPrestataireDetailPage', 'userPrestataireDetailPage', 'codePinPage', 'userHomePage', 'userListePrestatairePage', 'userListePrestatairePage', 'userPrestataireDetailPage', 'userHomeScreenPage', 'codePinPage', 'codePinPage', 'userListePrestatairePage', 'codePinPage', 'userHomePage', 'userHomeScreenPage', 'codePinPage', 'userHomeScreenPage', 'codePinPage', 'codePinPage', 'codePinPage', 'userHomePage', 'userHomeScreenPage', 'userListePrestatairePage', 'userHomeScreenPage']"
